course,access,category,holes,city_state,st,county,lon,lat
Shaffer's Evergreen Golf Course,Public,Public,9,"Hudson,MI",MI,Lenawee County,-84.338295,41.869746
Summergreen Golf Links,Public,Public,18,"Hudsonville,MI",MI,Ottawa County,-85.86605,42.856534
Gleneagle Golf Club,Public,Public,18,"Hudsonville,MI",MI,Ottawa County,-85.81655,42.880737
Rackham Golf Course,Municipal,Public,18,"Huntington Woods,MI",MI,Oakland County,-83.163269,42.474914
Deer View Golf Club,Public,Public,9,"Imlay City,MI",MI,St. Clair County,-82.964839,43.112549
Indian River Golf Club,Public,Public,18,"Indian River,MI",MI,Cheboygan County,-84.619597,45.416145
Inkster Valley Golf Course,Municipal,Public,18,"Inkster,MI",MI,Wayne County,-83.329708,42.293892
Interlochen Golf & Country Club,Public,Public,18,"Interlochen,MI",MI,Grand Traverse County,-85.790059,44.658915
Shadow Ridge Golf Course,Public,Public,9,"Ionia,MI",MI,Ionia County,-85.045106,42.969669
Rolling Hills Golf Estate,Public,Public,9,"Ionia,MI",MI,Ionia County,-85.044624,42.967217
Pine Grove Country Club,Private,Private,18,"Iron Mountain,MI",MI,Dickinson County,-88.086595,45.819833
TimberStone Golf Course,Public,Public,18,"Iron Mountain,MI",MI,Dickinson County,-88.058479,45.83519
Iron River Country Club,Public,Public,9,"Iron River,MI",MI,Iron County,-88.644187,46.072566
Gogebic Country Club,Public,Public,18,"Ironwood,MI",MI,Gogebic County,-90.12453,46.471592
Gratiot Country Club,Public,Public,18,"Ithaca,MI",MI,Gratiot County,-84.607299,43.313072
North Star Golf Course,Public,Public,18,"Ithaca,MI",MI,Gratiot County,-84.563514,43.225649
Cascade Golf Course,Municipal,Public,27,"Jackson,MI",MI,Jackson County,-84.445796,42.225529
Ella Sharp Park Golf Course,Municipal,Public,18,"Jackson,MI",MI,Jackson County,-84.418327,42.217344
Country Club of Jackson,Private,Private,27,"Jackson,MI",MI,Jackson County,-84.453131,42.190099
Arbor Hills Country Club,Public,Public,18,"Jackson,MI",MI,Jackson County,-84.482801,42.23247
Hickory Hills Golf Club,Public,Public,36,"Jackson,MI",MI,Jackson County,-84.475483,42.222426
Sparrow Hawk Golf Course,Public,Public,18,"Jackson,MI",MI,Jackson County,-84.371731,42.279343
Pine Hollow Golf Club,Public,Public,18,"Jackson,MI",MI,Jackson County,-84.316731,42.277902
Gauss's Green Valley Golf Course,Public,Public,18,"Jackson,MI",MI,Jackson County,-84.314384,42.190279
Lakeland Hills Golf Course,Public,Public,18,"Jackson,MI",MI,Jackson County,-84.294274,42.232875
Grande Golf Club,Public,Public,18,"Jackson,MI",MI,Jackson County,-84.378368,42.18945
Wallinwood Springs,Public,Public,18,"Jenison,MI",MI,Ottawa County,-85.797719,42.917663
Lake LeAnn Golf Course,Public,Public,9,"Jerome,MI",MI,Hillsdale County,-84.429023,42.049065
Mill Race Golf Club,Public,Public,18,"Jonesville,MI",MI,Hillsdale County,-84.659592,41.978141
Grand Prairie Golf Course,Municipal,Public,18,"Kalamazoo,MI",MI,Kalamazoo County,-85.635391,42.310775
Milham Park,Municipal,Public,18,"Kalamazoo,MI",MI,Kalamazoo County,-85.574149,42.249792
Red Arrow Golf Course,Municipal,Public,9,"Kalamazoo,MI",MI,Kalamazoo County,-85.56851,42.291404
Eastern Hills Golf Club,Municipal,Public,36,"Kalamazoo,MI",MI,Kalamazoo County,-85.511636,42.332828
Kalamazoo Country Club,Private,Private,27,"Kalamazoo,MI",MI,Kalamazoo County,-85.606804,42.260395
Ridgeview Golf Course,Public,Public,18,"Kalamazoo,MI",MI,Kalamazoo County,-85.752462,42.295362
Thornapple Creek Golf Club,Public,Public,18,"Kalamazoo,MI",MI,Kalamazoo County,-85.67521,42.346635
The Prairies,Public,Public,18,"Kalamazoo,MI",MI,Kalamazoo County,-85.654296,42.296028
Crestview Golf Club Inc,Public,Public,18,"Kalamazoo,MI",MI,Kalamazoo County,-85.600932,42.376674
Twin Birch Golf Club,Public,Public,18,"Kalkaska,MI",MI,Kalkaska County,-85.153618,44.742921
Grand View Golf Club,Public,Public,18,"Kalkaska,MI",MI,Kalkaska County,-85.072553,44.757573
Timber Wolf Golf Club,Public,Public,18,"Kalkaska,MI",MI,Kalkaska County,-85.06044,44.713434
