organization,address,city,st,zip,office_type,longitude,latitude
Farm Credit Mid-America,1502 New Columbia Rd,Campbellsville,KY,42718,Branch,-85.355995,37.315546
Central Kentucky Agricultural Credit Association,2311 Lawrenceburg Road,Frankfort,KY,40601,Branch,-84.89539,38.14917
Farm Credit Mid-America,2800 New Bowling Green Road,Glasgow,KY,42141,Branch,-85.957681,37.013891
River Valley AgCredit,12350 US Hwy 60W,Kevil,KY,42053,Branch,-88.826887,36.959889
Farm Credit Mid-America,3047 Owingsville Road,Mt Sterling,KY,40353,Branch,-83.902235,38.083337
Farm Credit Mid-America,1203 Mt Eden Rd,Shelbyville,KY,40065,Branch,-85.209591,38.194256
Central Kentucky Agricultural Credit Association,485 N Danville Byp,Danville,KY,40422,Branch,-84.80002,37.6556
Farm Credit Mid-America,1201 Providence Place Parkway,Lexington,KY,40511,Branch,-84.480221,38.103244
Farm Credit Mid-America,7112 AA Hwy,Maysville,KY,41056,Branch,-83.74233,38.59912
Central Kentucky Agricultural Credit Association,201 Commerce Dr,Paris,KY,40361,Branch,-84.275862,38.218269
Farm Credit Mid-America,101 Opportunity Way,Elizabethtown,KY,42701,Branch,-85.89199,37.65694
Farm Credit Mid-America,1063 S Hwy 259,Hardinsburg,KY,40143,Branch,-86.470645,37.6429
Farm Credit Mid-America,5172 Canton Pike,Hopkinsville,KY,42240,Branch,-87.552364,36.856905
River Valley AgCredit,1401 N 12th St,Murray,KY,42071,Branch,-88.312928,36.631526
Farm Credit Mid-America,115 Commerce Drive,Russellville,KY,42276,Branch,-86.88287,36.86598
River Valley AgCredit,196 U.S. Highway 51 North,Bardwell,KY,42023,Branch,-89.009107,36.869951
Farm Credit Mid-America,2211 W Highway 914,Somerset,KY,42503,Branch,-84.64541,37.05221
Farm Credit Mid-America,8300 Keach Dr,Henderson,KY,42420,Branch,-87.57074,37.79295
Central Kentucky Agricultural Credit Association,2429 Members Way,Lexington,KY,40504,Branch,-84.54849,38.01955
Farm Credit Mid-America,3216 Buckland Sq,Owensboro,KY,42301,Branch,-87.15076,37.738945
Central Kentucky Agricultural Credit Association,1000 Ival James Blvd,Richmond,KY,40475,Branch,-84.27114,37.75802
River Valley AgCredit,545 Dick Castleman Bypass,Mayfield,KY,42066,Branch,-88.62163,36.723885
Central Kentucky Agricultural Credit Association,106 Agriculture Way,Stanford,KY,40484,Branch,-84.650305,37.551923
River Valley AgCredit,102 N Washington ST,Clinton,KY,42031,Branch,-88.993275,36.667256
Central Kentucky Agricultural Credit Association,842 W Main ST,Lebanon,KY,40033,Branch,-85.27905,37.55673
First South Farm Credit,3206 S LA 13,Crowley,LA,70526,Branch,-92.36093,30.11579
First South Farm Credit,4925 E McNeese St,Lake Charles,LA,70607,Branch,-93.131189,30.176166
First South Farm Credit,321 S Main St,Marksville,LA,71351,Branch,-92.07044,31.12396
Louisiana Land Bank ACA,5073 I-49 S Service Rd,Opelousas,LA,70570,Branch,-92.07305,30.49834
Louisiana Land Bank ACA,3517 Hwy 1 South,Port Allen,LA,70767,Branch,-91.220756,30.41843
First South Farm Credit,1725 St Mary Hwy,Thibodaux,LA,70301,Branch,-90.850844,29.802749
First South Farm Credit,19550 Old Scenic Hwy.,Zachary,LA,70791,Branch,-91.192323,30.643349
Louisiana Land Bank ACA,"594 Gap Farm Rd, Suite A",Arcadia,LA,71001,Branch,-92.912959,32.56626
First South Farm Credit,1896 Hudson Cir Ste 7,Monroe,LA,71201,Branch,-92.1132,32.528
Louisiana Land Bank ACA,2411 Tower DR,Monroe,LA,71201,Branch,-92.1007,32.5274
Southern AgCredit,600 North Vienna Street,Ruston,LA,71270,Branch,-92.637364,32.533667
Southern AgCredit,2042 E 70th St,Shreveport,LA,71105,Branch,-93.705869,32.445461
Louisiana Land Bank ACA,2137 E Bert Kouns Ind Loop,Shreveport,LA,71105,Branch,-93.70447,32.44094
First South Farm Credit,222 N Cedar St,Tallulah,LA,71282,Branch,-91.186119,32.409354
Louisiana Land Bank ACA,472 Highway 65 South,Tallulah,LA,71282,Branch,-91.199904,32.372208
Louisiana Land Bank ACA,4255 Front Street,Winnsboro,LA,71295,Branch,-91.70824,32.15355
First South Farm Credit,811 Jackson Street,Winnsboro,LA,71295,Branch,-91.71296,32.16541
First South Farm Credit,1007 Guy Drive,St Martinville,LA,70582,Branch,-91.81939,30.05145
First South Farm Credit,60050 Westway Drive,Amite,LA,70422,Branch,-90.509054,30.726666
Louisiana Land Bank ACA,"810 C.M. Fagan Dr, Suite B",Hammond,LA,70403,Branch,-90.46519,30.48313
Farm Credit East,615 Minot Ave,Auburn,ME,04210,Branch,-70.251437,44.082823
Farm Credit East,26 Rice St,Presque Isle,ME,04769,Branch,-68.00919,46.69468
Horizon Farm Credit,1614 Churchville Rd,Bel Air,MD,21015,Branch,-76.312171,39.547848
Horizon Farm Credit,379 Deep Shore Rd,Denton,MD,21629,Branch,-75.82467,38.866
Colonial Farm Credit,7431 Leonardtown Rd,Hughesville,MD,20637,Branch,-76.80852,38.54965
Farm Credit of the Virginias,13195 Garrett Hwy,Oakland,MD,21550,Branch,-79.39153,39.42636
Farm Credit of the Virginias,13195 Garrett Hwy,Oakland,MD,21550,Branch,-79.39153,39.42636
Horizon Farm Credit,45 Aileron Court,Westminster,MD,21157,Branch,-76.99851,39.61168
Horizon Farm Credit,102 Morgnec Rd,Chestertown,MD,21620,Branch,-76.07847,39.21942
Horizon Farm Credit,1035 Ocean Hwy,Pocomoke,MD,21851,Branch,-75.54223,38.034746
Horizon Farm Credit,6546 Mid Atlantic Lane,Salisbury,MD,21804,Branch,-75.522035,38.371763
Horizon Farm Credit,125 Prosperity Dr,Winchester,VA,22604,Branch,-78.19945,39.11782
Farm Credit East,785 Hartford Pike,Dayville,CT,06241,Branch,-71.87086,41.83823
Farm Credit East,240 South Road,Enfield,CT,06082,Branch,-72.584708,41.976625
Farm Credit East,67 Bedford Street,Middleboro,MA,02346,Branch,-70.959659,41.907644
Farm Credit East,2 Constitution Drive,Bedford,NH,03110,Branch,-71.50524,42.95716
Farm Credit East,190 NY Route 9H,Hudson,NY,12534,Branch,-73.7321,42.20407
GreenStone Farm Credit Services,1517 Lincoln Rd.,Allegan,MI,49010,Branch,-85.869383,42.529818
GreenStone Farm Credit Services,2200 M-32 W.,Alpena,MI,49707,Branch,-83.495319,45.062127
GreenStone Farm Credit Services,3949 S. Three Mile Rd.,Bay City,MI,48706,Branch,-83.953577,43.569991
GreenStone Farm Credit Services,"1801 N. Lincoln Rd., Ste. A",Escanaba,MI,49829,Branch,-87.08041,45.768617
GreenStone Farm Credit Services,3491 Hartman Rd.,Traverse City,MI,49685,Branch,-85.645707,44.717362
GreenStone Farm Credit Services,8302 Edgewood Rd.,Berrien Springs,MI,49103,Branch,-86.37992,41.9668
GreenStone Farm Credit Services,500 Olds Street,Jonesville,MI,49250,Branch,-84.673618,41.969852
GreenStone Farm Credit Services,100 Spring St.,Concord,MI,49237,Branch,-84.648557,42.180719
GreenStone Farm Credit Services,1075 N. Mission St.,Mt Pleasant,MI,48858,Branch,-84.768155,43.613972
GreenStone Farm Credit Services,722 W. Lawrence Ave.,Charlotte,MI,48813,Branch,-84.847218,42.564462
GreenStone Farm Credit Services,1104 S. US Highway 27,St Johns,MI,48879,Branch,-84.54512,42.99037
GreenStone Farm Credit Services,2942 W. Monroe Rd.,Alma,MI,48801,Branch,-84.665144,43.409085
GreenStone Farm Credit Services,455 Lake Nepessing Rd.,Lapeer,MI,48446,Branch,-83.36056,43.03407
GreenStone Farm Credit Services,749 S. Van Dyke Rd.,Bad Axe,MI,48413,Branch,-83.01447,43.800256
GreenStone Farm Credit Services,3515 West RD Ste 100,East Lansing,MI,48823,Branch,-84.510678,42.76882
GreenStone Farm Credit Services,1962 S. State Rd.,Ionia,MI,48846,Branch,-85.075579,42.959452
GreenStone Farm Credit Services,3225 Walker Ave. N.W.,Grand Rapids,MI,49544,Branch,-85.72815,43.02264
GreenStone Farm Credit Services,225 W. Lyons St.,Schoolcraft,MI,49087,Branch,-85.63899,42.12106
GreenStone Farm Credit Services,5285 W. US Highway 223,Adrian,MI,49221,Branch,-84.08991,41.90493
GreenStone Farm Credit Services,7597 S. Mackinaw Trl.,Cadillac,MI,49601,Branch,-85.39707,44.22867
GreenStone Farm Credit Services,1040 W. Highland Rd.,Howell,MI,48843,Branch,-83.947056,42.622097
GreenStone Farm Credit Services,3486 W. Polk Rd.,Hart,MI,49420,Branch,-86.363954,43.688398
GreenStone Farm Credit Services,8897 W. Tamarack Rd.,Lakeview,MI,48850,Branch,-85.231477,43.438219
GreenStone Farm Credit Services,15615 S. Telegraph Rd.,Monroe,MI,48161,Branch,-83.42547,41.90646
GreenStone Farm Credit Services,11020 Gratiot Rd.,Saginaw,MI,48609,Branch,-84.1314,43.41693
GreenStone Farm Credit Services,704 W. Corunna Ave.,Corunna,MI,48817,Branch,-84.13207,42.98409
GreenStone Farm Credit Services,700 W Sanilac RD,Sandusky,MI,48471,Branch,-82.858181,43.421624
GreenStone Farm Credit Services,7530 Jackson Rd.,Ann Arbor,MI,48103,Branch,-83.878592,42.294339
GreenStone Farm Credit Services,1570 Cleaver Rd.,Caro,MI,48723,Branch,-83.38734,43.51202
AgCountry Farm Credit Services,873 Hwy 10 East,Detroit Lakes,MN,56501,Branch,-95.824841,46.809316
AgCountry Farm Credit Services,907 Prairie Pines Dr.,Fosston,MN,56542,Branch,-95.73737,47.56944
Compeer Financial,1710 E 10th St,Glencoe,MN,55336,Branch,-94.144747,44.76913
AgCountry Farm Credit Services,316 East 1st Street,Graceville,MN,56240,Branch,-96.43062,45.56535
Compeer Financial,806 3rd St South,Waite Park,MN,56387,Branch,-94.2268,45.54739
Compeer Financial,540 Baldwin Plaza Drive,Baldwin,WI,54002,Branch,-92.371198,44.93895
Compeer Financial,1700 Giant Dr,Blue Earth,MN,56013,Branch,-94.09844,43.65828
AgCountry Farm Credit Services,4401 Highway 71 South,Willmar,MN,56201,Branch,-95.041208,45.082102
AgCountry Farm Credit Services,1900 44th St South,Fargo,ND,58103,Branch,-96.8587,46.85105
Compeer Financial,2912 Pioneer Ave,Rice Lake,WI,54868,Branch,-91.740778,45.471385
Compeer Financial,1791 Diagonal Road,Worthington,MN,56187,Branch,-95.620902,43.634841
AgCountry Farm Credit Services,1022 Broadway Street,Alexandria,MN,56308,Branch,-95.378216,45.880396
Compeer Financial,21088 Keswick Loop,Lakeville,MN,55044,Branch,-93.29956,44.64387
Compeer Financial,7540 Airport View Drive SW,Rochester,MN,55902,Branch,-92.48023,43.91254
AgCountry Farm Credit Services,17 First Street NE,Elbow Lake,MN,56531,Branch,-95.976201,45.993349
AgCountry Farm Credit Services,224 N Atlantic Ave,Hallock,MN,56728,Branch,-96.94876,48.778431
AgCountry Farm Credit Services,112 5th Ave,Madison,MN,56256,Branch,-96.19133,45.010013
AgCountry Farm Credit Services,302 S O'Connell St,Marshall,MN,56258,Branch,-95.7577,44.44721
AgCountry Farm Credit Services,208 Third Ave NW,Roseau,MN,56751,Branch,-95.76541,48.84782
AgCountry Farm Credit Services,406 N McKinley St,Warren,MN,56762,Branch,-96.7751,48.19529
Compeer Financial,1921 Premier Dr,Mankato,MN,56001,Branch,-93.947508,44.179457
AgCountry Farm Credit Services,530 Fisher Avenue,Crookston,MN,56716,Branch,-96.6072,47.789747
AgCountry Farm Credit Services,311 North Tower Road,Fergus Falls,MN,56537,Branch,-96.10348,46.28652
AgCountry Farm Credit Services,2044 State Hwy 1 NE,Thief River Falls,MN,56701,Branch,-96.212731,48.123076
AgCountry Farm Credit Services,103 Atlantic Avenue So,Morris,MN,56267,Branch,-95.91142,45.58291
AgCountry Farm Credit Services,1701 West Lincoln Ave,Olivia,MN,56277,Branch,-95.005069,44.77588
AgCountry Farm Credit Services,161 County Highway 101,Redwood Falls,MN,56283,Branch,-95.09528,44.54256
AgCountry Farm Credit Services,1982 Two Ten Drive,Wahpeton,ND,58075,Branch,-96.621157,46.288146
Southern AgCredit,130 S Whitworth Ave,Brookhaven,MS,39601,Branch,-90.44358,31.578856
Mississippi Land Bank,3598-A Hwy 61 North,Cleveland,MS,38732,Branch,-90.71663,33.80017
Mississippi Land Bank,2101 Hwy 72 East,Corinth,MS,38834,Branch,-88.50177,34.91486
First South Farm Credit,1021 Hwy 82 East,Leland,MS,38756,Branch,-90.87842,33.40196
First South Farm Credit,501 Apache Dr,McComb,MS,39648,Branch,-90.480638,31.254677
First South Farm Credit,914 Van Buren Ave,Oxford,MS,38655,Branch,-89.521078,34.365928
First South Farm Credit,260 Trace Colony Park Drive,Ridgeland,MS,39157,Branch,-90.15235,32.42636
Mississippi Land Bank,P O Box 971,Senatobia,MS,38668,Branch,-89.879602,34.61942
First South Farm Credit,1626 N. Veterans Memorial Blvd. Suite C,Tupelo,MS,38804,Branch,-88.679494,34.280816
First South Farm Credit,306 E Jefferson St,Aberdeen,MS,39730,Branch,-88.54115,33.822558
First South Farm Credit,1009 North Main Street,Calhoun City,MS,38916,Branch,-89.3152,33.86768
Southern AgCredit,2217 Highway 82 West,Greenwood,MS,38930,Branch,-90.22393,33.5277
First South Farm Credit,1703 Hwy. 82 West,Greenwood,MS,38930,Branch,-90.212019,33.525937
Southern AgCredit,306 Commerce Center Drive,Ridgeland,MS,39157,Branch,-90.146372,32.445271
First South Farm Credit,"1089D Stark Road, Suite 3",Starkville,MS,39759,Branch,-88.846,33.45473
Mississippi Land Bank,3517 Tom Watson Dr,Saltillo,MS,38866,Branch,-88.697392,34.307198
First South Farm Credit,505 E Second Street,Clarksdale,MS,38614,Branch,-90.569499,34.204074
Mississippi Land Bank,2653 N State St,Clarksdale,MS,38614,Branch,-90.541566,34.206822
First South Farm Credit,4 Thompson Park,Hattiesburg,MS,39401,Branch,-89.32335,31.280089
First South Farm Credit,23 Dunnbarr,Laurel,MS,39440,Branch,-89.150549,31.751247
First South Farm Credit,197 George Payne Cossar Blvd.,Charleston,MS,38921,Branch,-90.05526,34.007405
Southern AgCredit,12196 Highway 49,Gulfport,MS,39503,Branch,-89.100649,30.462223
First South Farm Credit,122 Main Street,Indianola,MS,38751,Branch,-90.650982,33.451945
FCS Financial,108 North Prosperity,Joplin,MO,64801,Branch,-94.423068,37.084392
FCS Financial,509 HBC Road,Macon,MO,63552,Branch,-92.473025,39.737816
FCS Financial,27186 282nd Street,Maryville,MO,64468,Branch,-94.87234,40.31227
FCS Financial,2810 E Liberty St,Mexico,MO,65265,Branch,-91.84419,39.16285
FCS Financial,1925 N Osage Blvd,Nevada,MO,64772,Branch,-94.345664,37.859362
FCS Financial,2109 S Riverside Rd,St Joseph,MO,64507,Branch,-94.767246,39.747905
FCS Financial,2800 Woodard Drive,Columbia,MO,65202,Branch,-92.28277,38.97888
Farm Credit Southeast Missouri,1114 N Outer Rd,Dexter,MO,63841,Branch,-89.9761,36.80887
FCS Financial,30405 SE Outer Road,Harrisonville,MO,64701,Branch,-94.349612,38.564
Farm Credit Southeast Missouri,420 W Washington,Jackson,MO,63755,Branch,-89.67164,37.384292
Farm Credit Southeast Missouri,811 S Bypass,Kennett,MO,63857,Branch,-90.048554,36.226247
Farm Credit Southeast Missouri,791 S Hwy 105,Charleston,MO,63834,Branch,-89.35703,36.8367
Farm Credit Southeast Missouri,107 E Outer RD,Poplar Bluff,MO,63901,Branch,-90.46139,36.7271
Farm Credit Southeast Missouri,501 W State Hwy 162,Portageville,MO,63873,Branch,-89.69975,36.43864
FCS Financial,2600 S Limit,Sedalia,MO,65301,Branch,-93.25161,38.68854
Farm Credit Southeast Missouri,1110 N Main,Sikeston,MO,63801,Branch,-89.58693,36.89134
FCS Financial,1405 N Walnut St,Cameron,MO,64429,Branch,-94.23488,39.7517
FCS Financial,2880 N Washington St,Chillicothe,MO,64601,Branch,-93.55182,39.82153
FCS Financial,936 Alexis Avenue,Lebanon,MO,65536,Branch,-92.668435,37.653059
FCS Financial,1360 N Lexington Ave,Marshall,MO,65340,Branch,-93.22484,39.13623
FCS Financial,500 South State Hwy B,Springfield,MO,65802,Branch,-93.4221,37.20627
FCS Financial,1930 E Miller St,Jefferson City,MO,65101,Branch,-92.148571,38.552624
FCS Financial,300 Hwy 50 West,Union,MO,63084,Branch,-91.01054,38.439982
FCS Financial,1005 Porter Wagoner Blvd,West Plains,MO,65775,Branch,-91.8681,36.737482
FCS Financial,150 Walker Drive,Farmington,MO,63640,Branch,-90.446335,37.773686
FCS Financial,4100 Highway 13 Blvd,Higginsville,MO,64037,Branch,-93.73404,39.05447
FCS Financial,1051 Peruque Crossing Ct,O'Fallon,MO,63366,Branch,-90.76676,38.80687
FCS Financial,3200 Hwy 61,Hannibal,MO,63401,Branch,-91.403086,39.73335
AgWest Farm Credit,3490 Gabel Road,Billings,MT,59102,Branch,-108.603061,45.743898
AgWest Farm Credit,2530 Honor Lane,Bozeman,MT,59718,Branch,-111.071687,45.717272
AgWest Farm Credit,134 E Reeder St,Dillon,MT,59725,Branch,-112.638587,45.214545
AgWest Farm Credit,1705 US Hwy 2 NW,Havre,MT,59501,Branch,-109.71219,48.557325
AgWest Farm Credit,502 S Haynes Ave.,Miles City,MT,59301,Branch,-105.82202,46.40342
AgWest Farm Credit,54147 US Hwy 2,Glasgow,MT,59230,Branch,-106.6407,48.19985
AgWest Farm Credit,700 River Dr S,Great Falls,MT,59405,Branch,-111.307679,47.497517
AgWest Farm Credit,3021 Palmer St,Missoula,MT,59808,Branch,-114.035029,46.886645
AgWest Farm Credit,123 N Central Ave,Sidney,MT,59270,Branch,-104.15622,47.715968
AgWest Farm Credit,519 S Main,Conrad,MT,59425,Branch,-111.947921,48.166575
AgWest Farm Credit,120 Wunderlin St,Lewistown,MT,59457,Branch,-109.440218,47.05689
Farm Credit Services of America,2555 South E Street,Broken Bow,NE,68822,Branch,-99.660583,41.402652
Farm Credit Services of America,3333 W Faidley Ave,Grand Island,NE,68803,Branch,-98.379972,40.923782
Farm Credit Services of America,4070 East 56th Street,Kearney,NE,68847,Branch,-99.02811,40.72912
Farm Credit Services of America,207 N 34th St,Norfolk,NE,68701,Branch,-97.462795,42.03406
Farm Credit Services of America,197 W. State Farm Road,North Platte,NE,69101,Branch,-100.767244,41.090919
Farm Credit Services of America,411 Valley View DR,Scottsbluff,NE,69361,Branch,-103.657916,41.879289
Farm Credit Services of America,2390 Highway 2,Alliance,NE,69301,Branch,-102.899343,42.104654
Farm Credit Services of America,4865 Old Monastery Road,Columbus,NE,68601,Branch,-97.349106,41.467196
Farm Credit Services of America,507 E Highway 20,O'Neill,NE,68763,Branch,-98.629754,42.451099
Farm Credit Services of America,4101 N 6th St,Beatrice,NE,68310,Branch,-96.74816,40.30864
Farm Credit Services of America,686 E 3rd ST,Imperial,NE,69033,Branch,-101.62927,40.51453
Farm Credit Services of America,855 Fallbrook Rd,Lincoln,NE,68524,Branch,-96.732652,40.87642
Farm Credit Services of America,1806 N Highway 83,Mccook,NE,69001,Branch,-100.651108,40.217981
American AgCredit,285 Tenth Street,Elko,NV,89801,Branch,-115.757166,40.835444
Farm Credit East,250 Commerce Way,Derby,VT,05829,Branch,-72.15711,44.95552
Farm Credit East,52 FarmVu Dr,White River Junction,VT,05001,Branch,-72.33262,43.64312
Farm Credit East,29 Landis Avenue,Bridgeton,NJ,08302,Branch,-75.20476,39.46301
Farm Credit East,9 County Road 618,Lebanon,NJ,08833,Branch,-74.860935,40.582245
American AgCredit,5651 Balloon Fiesta Parkway NE,Albuquerque,NM,87113,Branch,-106.58152,35.199555
AgTrust Farm Credit,19554 Hwy. 314,Belen,NM,87002,Branch,-106.76149,34.70924
AgTrust Farm Credit,4501 N Prince St,Clovis,NM,88101,Branch,-103.195669,34.443199
American AgCredit,301 West Llano Estacado,Clovis,NM,88101,Branch,-103.210768,34.433361
AgTrust Farm Credit,"1338 Picacho Hills Dr., Suite #1",Las Cruces,NM,88007,Branch,-106.856544,32.307892
American AgCredit,2800 Las Vegas CT,Las Cruces,NM,88007,Branch,-106.816191,32.30908
American AgCredit,1300 W Country Club Rd,Roswell,NM,88201,Branch,-104.54107,33.42253
American AgCredit,323 S Second St,Tucumcari,NM,88401,Branch,-103.72639,35.1762
Farm Credit East,7397 NY Route 80,Cooperstown,NY,13326,Branch,-74.93227,42.69643
Farm Credit East,1 Technology Place,Homer,NY,13077,Branch,-76.19226,42.62992
Farm Credit East,1450 NY Route 14,Phelps,NY,14532,Branch,-76.97487,42.692
Farm Credit East,1155 Airport Road,Hornell,NY,14843,Branch,-77.676367,42.379291
Farm Credit East,28 E Chautauqua St,Mayville,NY,14757,Branch,-79.503339,42.256051
Farm Credit East,1281 NY Route 58,Riverhead,NY,11901,Branch,-72.680632,40.920632
Farm Credit East,130 Upper Weldon St,St Albans,VT,05478,Branch,-73.07106,44.802
Farm Credit East,4363 Federal Drive,Batavia,NY,14020,Branch,-78.19344,43.02147
Farm Credit East,1 Pioneer Drive,Potsdam,NY,13676,Branch,-74.96443,44.67047
Farm Credit East,320 Exchange St,Middlebury,VT,05753,Branch,-73.16945,44.02309
Farm Credit East,25417 NY Route 12,Watertown,NY,13601,Branch,-75.864031,43.933458
Farm Credit East,394 NY Route 29,Greenwich,NY,12834,Branch,-73.43456,43.10286
AgSouth Farm Credit,620 N First St,Albemarle,NC,28001,Branch,-80.19885,35.35991
AgSouth Farm Credit,2186 US Highway 220 North,Ellerbe,NC,28338,Branch,-79.762925,35.080235
AgSouth Farm Credit,225 N Main St,Graham,NC,27253,Branch,-79.399886,36.072021
AgSouth Farm Credit,545 E Main St,Jefferson,NC,28640,Branch,-81.46554,36.42094
AgSouth Farm Credit,282 N Main St,Sparta,NC,28675,Branch,-81.12438,36.508255
AgSouth Farm Credit,1218 NC Hwy 90 West,Taylorsville,NC,28681,Branch,-81.19717,35.92326
AgCarolina Farm Credit,408 North Carolina 561 West,Ahoskie,NC,27910,Branch,-76.99049,36.290298
AgSouth Farm Credit,701 Brevard Rd,Asheville,NC,28806,Branch,-82.597736,35.54141
AgSouth Farm Credit,1109 Conover Blvd E,Conover,NC,28613,Branch,-81.20358,35.70319
AgCarolina Farm Credit,108 N Poplar St,Elizabethtown,NC,28337,Branch,-78.60484,34.6296
AgCarolina Farm Credit,300 Liberty St,Whiteville,NC,28472,Branch,-78.709874,34.345784
AgCarolina Farm Credit,1105 Garrett Rd.,Williamston,NC,27892,Branch,-77.06867,35.8335
AgCarolina Farm Credit,101 Impact Blvd.,Elizabeth City,NC,27909,Branch,-76.305578,36.261995
AgCarolina Farm Credit,1309 S. Glenburnie Rd.,New Bern,NC,28561,Branch,-77.088928,35.120448
AgSouth Farm Credit,607 Leasburg Rd,Roxboro,NC,27573,Branch,-78.999235,36.391026
AgSouth Farm Credit,105 Hiwassee St,Murphy,NC,28906,Branch,-84.035739,35.086632
AgSouth Farm Credit,1216 Fallston Rd,Shelby,NC,28150,Branch,-81.520582,35.31482
AgSouth Farm Credit,110 E Beaver St,Siler City,NC,27344,Branch,-79.461765,35.721997
AgSouth Farm Credit,1001 S State St,Yadkinville,NC,27055,Branch,-80.65948,36.11583
AgCarolina Farm Credit,127 Beasley Street,Kenansville,NC,28349,Branch,-77.95848,34.96467
AgSouth Farm Credit,813 W Hwy 150,Lincolnton,NC,28092,Branch,-81.269652,35.46358
AgCarolina Farm Credit,222 N. Bickett Blvd.,Louisburg,NC,27549,Branch,-78.293714,36.100722
AgCarolina Farm Credit,2472 Woodruff Rd.,Rocky Mount,NC,27804,Branch,-77.838739,35.997178
AgSouth Farm Credit,340 Bethania Rural Hall Rd,Rural Hall,NC,27045,Branch,-80.29809,36.23971
AgSouth Farm Credit,4960 Oldway Rd,Browns Summit,NC,27214,Branch,-79.68144,36.21544
AgCarolina Farm Credit,636 Rock Spring RD,Greenville,NC,27834,Branch,-77.44017,35.63004
AgCarolina Farm Credit,419 S. King St.,Halifax,NC,27839,Branch,-77.5926,36.32108
AgCarolina Farm Credit,400 W Broad Street,Dunn,NC,28334,Branch,-78.613633,35.310516
AgCarolina Farm Credit,331 S Main St,Raeford,NC,28376,Branch,-79.223471,34.973823
AgCarolina Farm Credit,13191 US Hwy 264,Swan Quarter,NC,27885,Branch,-76.325309,35.42494
AgSouth Farm Credit,4444 US HWY 15-501,Carthage,NC,28327,Branch,-79.401362,35.335837
AgCarolina Farm Credit,7900 Hwy. 70 West,LaGrange,NC,28551,Branch,-77.75781,35.28815
AgCarolina Farm Credit,2850 US Hwy. 70 Bus. East,Smithfield,NC,27577,Branch,-78.30797,35.49894
AgSouth Farm Credit,1704 Wilkesboro Rd,Statesville,NC,28625,Branch,-80.91062,35.80763
AgSouth Farm Credit,502 W Main St,Burnsville,NC,28714,Branch,-82.304597,35.916493
AgSouth Farm Credit,2351 Concord Avenue,Monroe,NC,28112,Branch,-80.54392,35.012828
AgSouth Farm Credit,405 Oak St,Spindale,NC,28160,Branch,-81.93597,35.35047
AgCarolina Farm Credit,811 S Walker Street,Burgaw,NC,28425,Branch,-77.914809,34.543653
AgSouth Farm Credit,251 Rock Crusher Rd,Asheboro,NC,27203,Branch,-79.78491,35.70682
AgCarolina Farm Credit,1902 N Cedar St,Lumberton,NC,28358,Branch,-79.002761,34.630552
AgCarolina Farm Credit,1780 Southeast Blvd,Clinton,NC,28328,Branch,-78.304527,34.981228
AgSouth Farm Credit,698 S Key St,Pilot Mountain,NC,27041,Branch,-80.48378,36.37671
AgCarolina Farm Credit,4000 Poole Rd.,Raleigh,NC,27610,Branch,-78.56969,35.767347
AgSouth Farm Credit,902 Curtis Bridge Rd,Wilkesboro,NC,28697,Branch,-81.166315,36.145846
AgCountry Farm Credit Services,1308 Highway 5 NE,Bottineau,ND,58318,Branch,-100.423391,48.819768
Farm Credit Services of Mandan,107 Hwy 12 West,Bowman,ND,58623,Branch,-103.397241,46.175999
Farm Credit Services of Mandan,1300 Roughrider Blvd,Dickinson,ND,58601,Branch,-102.835228,46.896091
AgCountry Farm Credit Services,1650 9th Ave SE,Rugby,ND,58368,Branch,-100.009573,48.36811
AgCountry Farm Credit Services,220 Winter Show Road SW,Valley City,ND,58072,Branch,-98.005034,46.91476
AgCountry Farm Credit Services,200 1st Street SW,LaMoure,ND,58458,Branch,-98.296381,46.355948
Farm Credit Services of Mandan,1600 Old Red Trail,Mandan,ND,58554,Branch,-100.911842,46.84881
AgCountry Farm Credit Services,1400 31st Ave SW,Minot,ND,58702,Branch,-101.3141,48.20398
AgCountry Farm Credit Services,1802 13th Ave W,Williston,ND,58801,Branch,-103.64155,48.162829
AgCountry Farm Credit Services,385 Highway 281 NE,Carrington,ND,58421,Branch,-99.117421,47.467391
AgCountry Farm Credit Services,4350 32nd Avenue South,Grand Forks,ND,58208,Branch,-97.09108,47.890507
Farm Credit Services of Mandan,1207 Beaver Avenue,Wishek,ND,58495,Branch,-99.549004,46.259144
Farm Credit Services of Mandan,108 First Ave East,Carson,ND,58529,Branch,-101.56352,46.420854
Farm Credit Services of Mandan,213 Hwy 49 North,Beulah,ND,58523,Branch,-101.785671,47.264185
Farm Credit Services of Mandan,1157 Border Lane,Washburn,ND,58577,Branch,-101.02596,47.29584
AgCountry Farm Credit Services,300 Main Street West,Cavalier,ND,58220,Branch,-97.62588,48.794182
AgCountry Farm Credit Services,707 Hwy 2 East,Devils Lake,ND,58301,Branch,-98.855208,48.101309
AgCountry Farm Credit Services,604 Main Street,Lisbon,ND,58054,Branch,-97.68164,46.44031
AgCountry Farm Credit Services,2506 3rd Ave SW,Jamestown,ND,58401,Branch,-98.711431,46.882022
AgCountry Farm Credit Services,1005 Hill Ave,Grafton,ND,58237,Branch,-97.41167,48.414269
AgCountry Farm Credit Services,802 W Caledonia Ave,Hillsboro,ND,58045,Branch,-97.070486,47.402904
