id,mvt_id,name,brand,categories,names,city_fips,city_name,state,pop_20,cty_fips,cty_type,cty_centrality,cty_msa_adj,rucc,geometry_wkt,institutional
b9bcde61-392c-4bab-a061-b7fad4a5b109,13050045,Dollar Tree,"{""wikidata"":null,""names"":{""primary"":""Dollar Tree"",""common"":null,""rules"":null}}","{""primary"":""discount_store"",""alternate"":[""shopping"",""pop_up_shop""]}","{""primary"":""Dollar Tree"",""common"":null,""rules"":null}",0546580,"Monticello, Arkansas",AR,8442,05043,Non-Core,--,Non-Adjacent,7,POINT (-91.8032 33.63447),FALSE
1aaf7cf4-fa1c-463c-974b-ed1ba6e3c873,13050257,Family Dollar,"{""wikidata"":null,""names"":{""primary"":""Family Dollar"",""common"":null,""rules"":null}}","{""primary"":""discount_store"",""alternate"":[""retail"",""shopping""]}","{""primary"":""Family Dollar"",""common"":null,""rules"":null}",0546580,"Monticello, Arkansas",AR,8442,05043,Non-Core,--,Non-Adjacent,7,POINT (-91.80081 33.62984),FALSE
bc847a56-298b-4011-9ded-74e30355a0bb,13050397,Dollar General,"{""wikidata"":null,""names"":{""primary"":""Dollar General"",""common"":null,""rules"":null}}","{""primary"":""discount_store"",""alternate"":[""arts_and_crafts""]}","{""primary"":""Dollar General"",""common"":null,""rules"":null}",0546580,"Monticello, Arkansas",AR,8442,05043,Non-Core,--,Non-Adjacent,7,POINT (-91.7772 33.62883),FALSE
c56a1e40-8b04-4e57-b9b4-acec3788e351,13959880,Dollar General,"{""wikidata"":null,""names"":{""primary"":""Dollar General"",""common"":null,""rules"":null}}","{""primary"":""discount_store"",""alternate"":[""arts_and_crafts""]}","{""primary"":""Dollar General"",""common"":null,""rules"":null}",0543820,"Manila, Arkansas",AR,3682,05093,Micro,Central,Adjacent,4,POINT (-90.17756 35.87972),FALSE
72051e4c-8186-4939-8ef2-1f5ce0eb8f21,13959865,Dollar General,NA,"{""primary"":""discount_store"",""alternate"":[""convenience_store""]}","{""primary"":""Dollar General"",""common"":null,""rules"":null}",0543820,"Manila, Arkansas",AR,3682,05093,Micro,Central,Adjacent,4,POINT (-90.17686 35.87248),FALSE
bd09b430-4866-4bac-b1c8-86d0150ead5a,13959863,Family Dollar,"{""wikidata"":null,""names"":{""primary"":""Family Dollar"",""common"":null,""rules"":null}}","{""primary"":""discount_store"",""alternate"":[""grocery_store"",""retail""]}","{""primary"":""Family Dollar"",""common"":null,""rules"":null}",0543820,"Manila, Arkansas",AR,3682,05093,Micro,Central,Adjacent,4,POINT (-90.177 35.87181),FALSE
08ddda7d-8676-41b4-b6a1-993efe2b3bc0,13884321,Family Dollar,"{""wikidata"":null,""names"":{""primary"":""Family Dollar"",""common"":null,""rules"":null}}","{""primary"":""discount_store"",""alternate"":[""grocery_store"",""shopping""]}","{""primary"":""Family Dollar"",""common"":null,""rules"":null}",0519990,"Dumas, Arkansas",AR,4001,05041,Non-Core,--,Non-Adjacent,9,POINT (-91.48533 33.88919),FALSE
706f24fd-00df-4077-b423-fe9c33bc7793,13884219,Dollar General,NA,"{""primary"":""discount_store"",""alternate"":[""retail""]}","{""primary"":""Dollar General"",""common"":null,""rules"":null}",0519990,"Dumas, Arkansas",AR,4001,05041,Non-Core,--,Non-Adjacent,9,POINT (-91.48252 33.879),FALSE
f059c669-722b-4127-9402-a7582edb5153,13859584,Dollar Tree,"{""wikidata"":null,""names"":{""primary"":""Dollar Tree"",""common"":null,""rules"":null}}","{""primary"":""discount_store"",""alternate"":[""shopping"",""pop_up_shop""]}","{""primary"":""Dollar Tree"",""common"":null,""rules"":null}",0561670,"Russellville, Arkansas",AR,28940,05115,Micro,Central,Non-Adjacent,5,POINT (-93.09774 35.27845),FALSE
dd831ada-d9d6-4919-b9f4-e1c283a0c3ba,13859403,Dollar General,"{""wikidata"":null,""names"":{""primary"":""Dollar General"",""common"":null,""rules"":null}}","{""primary"":""discount_store"",""alternate"":[""arts_and_crafts""]}","{""primary"":""Dollar General"",""common"":null,""rules"":null}",0561670,"Russellville, Arkansas",AR,28940,05115,Micro,Central,Non-Adjacent,5,POINT (-93.10479 35.27778),FALSE
