id,mvt_id,name,brand,categories,names,city_fips,city_name,state,pop_20,cty_fips,cty_type,cty_centrality,cty_msa_adj,rucc,geometry_wkt,institutional
8ebd9e10-8dda-4fa8-9cf7-fdbb65cdf819,15582529,Cenex,NA,"{""primary"":""gas_station"",""alternate"":[""automotive""]}","{""primary"":""Cenex"",""common"":null,""rules"":null}",4600100,"Aberdeen, South Dakota",SD,28495,46013,Micro,Central,Non-Adjacent,5,POINT (-98.49542 45.45315),FALSE
73e2147e-b796-4a94-a552-90b88920742b,15583434,Cenex,NA,"{""primary"":""gas_station"",""alternate"":[""automotive""]}","{""primary"":""Cenex"",""common"":null,""rules"":null}",4600100,"Aberdeen, South Dakota",SD,28495,46013,Micro,Central,Non-Adjacent,5,POINT (-98.45505 45.45944),FALSE
6e579cd7-714e-4a6f-a10e-f1aa15cb7f02,14361131,Casey's General Store,"{""wikidata"":null,""names"":{""primary"":""Casey's"",""common"":null,""rules"":null}}","{""primary"":""pizza_restaurant"",""alternate"":[""convenience_store"",""gas_station""]}","{""primary"":""Casey's General Store"",""common"":null,""rules"":null}",4607580,"Brookings, South Dakota",SD,23377,46011,Micro,Central,Non-Adjacent,5,POINT (-96.79423 44.29683),FALSE
da18f961-f231-4f66-aa5c-00de44291a88,14361144,Kwik Trip/Kwik Star,"{""wikidata"":null,""names"":{""primary"":""Kwik Star"",""common"":null,""rules"":null}}","{""primary"":""liquor_store"",""alternate"":[""gas_station"",""convenience_store""]}","{""primary"":""Kwik Star"",""common"":null,""rules"":null}",4607580,"Brookings, South Dakota",SD,23377,46011,Micro,Central,Non-Adjacent,5,POINT (-96.77136 44.28215),FALSE
6848cf6d-eead-4405-bba1-63866bcb83b0,14363554,Casey's General Store,"{""wikidata"":null,""names"":{""primary"":""Casey's"",""common"":null,""rules"":null}}","{""primary"":""pizza_restaurant"",""alternate"":[""convenience_store"",""gas_station""]}","{""primary"":""Casey's General Store"",""common"":null,""rules"":null}",4607580,"Brookings, South Dakota",SD,23377,46011,Micro,Central,Non-Adjacent,5,POINT (-96.7687 44.29973),FALSE
e451bd02-3f30-425a-826a-cd2a015408db,14363228,Casey's General Store,"{""wikidata"":null,""names"":{""primary"":""Casey's"",""common"":null,""rules"":null}}","{""primary"":""pizza_restaurant"",""alternate"":[""convenience_store"",""gas_station""]}","{""primary"":""Casey's General Store"",""common"":null,""rules"":null}",4607580,"Brookings, South Dakota",SD,23377,46011,Micro,Central,Non-Adjacent,5,POINT (-96.80468 44.31216),FALSE
07748a9d-72b2-44b9-a69d-cd05d0b92d0b,14361286,Cenex,NA,"{""primary"":""gas_station"",""alternate"":[""convenience_store"",""business_manufacturing_and_supply""]}","{""primary"":""Cenex"",""common"":null,""rules"":null}",4621540,"Flandreau, South Dakota",SD,2372,46101,Non-Core,--,Adjacent,8,POINT (-96.61351 44.04944),FALSE
dccccba7-5eba-4543-94db-6f99332f8115,14354667,Cenex,NA,"{""primary"":""gas_station"",""alternate"":[""automotive""]}","{""primary"":""Cenex"",""common"":null,""rules"":null}",4643100,"Mitchell, South Dakota",SD,15660,46035,Micro,Central,Non-Adjacent,7,POINT (-98.04775 43.70227),FALSE
ad9262cd-5a98-4d88-b456-20a2566a33e6,14354681,Cenex,NA,"{""primary"":""gas_station"",""alternate"":[""agricultural_service"",""automotive""]}","{""primary"":""Cenex"",""common"":null,""rules"":null}",4643100,"Mitchell, South Dakota",SD,15660,46035,Micro,Central,Non-Adjacent,7,POINT (-98.04716 43.7024),FALSE
53b7eafa-0dd1-466b-a7cf-87fecba55944,14355060,Cenex,NA,"{""primary"":""convenience_store"",""alternate"":[""gas_station"",""automotive"",""retail""]}","{""primary"":""Cenex"",""common"":null,""rules"":null}",4643100,"Mitchell, South Dakota",SD,15660,46035,Micro,Central,Non-Adjacent,7,POINT (-98.01759 43.7009),FALSE
f39247ac-5b8f-4762-904e-fac3b9384d46,14355366,Casey's General Store,NA,"{""primary"":""convenience_store"",""alternate"":[""pizza_restaurant"",""business_advertising"",""restaurant"",""business_to_business"",""retail""]}","{""primary"":""Casey's General Store"",""common"":null,""rules"":null}",4643100,"Mitchell, South Dakota",SD,15660,46035,Micro,Central,Non-Adjacent,7,POINT (-98.02549 43.71572),FALSE
8993769e-1638-47cd-9887-34a94a59ea03,14355194,Casey's General Store,"{""wikidata"":null,""names"":{""primary"":""Casey's"",""common"":null,""rules"":null}}","{""primary"":""pizza_restaurant"",""alternate"":[""convenience_store"",""gas_station""]}","{""primary"":""Casey's General Store"",""common"":null,""rules"":null}",4643100,"Mitchell, South Dakota",SD,15660,46035,Micro,Central,Non-Adjacent,7,POINT (-98.02521 43.70915),FALSE
5247fa9f-1575-47f9-884b-8aed75168d03,14331550,Casey's General Store,"{""wikidata"":null,""names"":{""primary"":""Casey's"",""common"":null,""rules"":null}}","{""primary"":""pizza_restaurant"",""alternate"":[""gas_station"",""convenience_store""]}","{""primary"":""Casey's General Store"",""common"":null,""rules"":null}",4668020,"Wagner, South Dakota",SD,1490,46023,Non-Core,--,Non-Adjacent,9,POINT (-98.30245 43.08201),FALSE
e81bc60d-a9c6-48c6-985a-ecbea6542830,14331816,Cenex,NA,"{""primary"":""gas_station"",""alternate"":[""automotive""]}","{""primary"":""Cenex"",""common"":null,""rules"":null}",4602260,"Armour, South Dakota",SD,698,46043,Non-Core,--,Non-Adjacent,9,POINT (-98.34508 43.31563),FALSE
4c56ccca-bee8-4af4-9b83-677435373277,14361471,Cenex,NA,"{""primary"":""gas_station"",""alternate"":[""automotive""]}","{""primary"":""Cenex"",""common"":null,""rules"":null}",4618700,"Elkton, South Dakota",SD,755,46011,Micro,Central,Non-Adjacent,5,POINT (-96.48614 44.24411),FALSE
25db9376-d997-4da4-ac58-9149ed386ee0,15582166,Cenex,NA,"{""primary"":""gas_station"",""alternate"":[""automotive""]}","{""primary"":""Cenex"",""common"":null,""rules"":null}",4621260,"Faulkton, South Dakota",SD,826,46049,Non-Core,--,Non-Adjacent,9,POINT (-99.12537 45.03473),FALSE
650edcfb-445a-4145-b14e-f43ba8f6fc8c,14329877,Casey's General Store,"{""wikidata"":null,""names"":{""primary"":""Casey's"",""common"":null,""rules"":null}}","{""primary"":""pizza_restaurant"",""alternate"":[""convenience_store"",""gas_station""]}","{""primary"":""Casey's General Store"",""common"":null,""rules"":null}",4660660,"Springfield, South Dakota",SD,1914,46009,Non-Core,--,Non-Adjacent,9,POINT (-97.89277 42.86031),FALSE
a0086985-cb21-4646-98e0-44dfbf10fbd6,14324833,Cenex,NA,"{""primary"":""gas_station"",""alternate"":[""convenience_store"",""bar""]}","{""primary"":""Cenex"",""common"":null,""rules"":null}",4672180,"Winner, South Dakota",SD,2921,46123,Non-Core,--,Non-Adjacent,9,POINT (-99.86483 43.37633),FALSE
e791ae86-812c-4362-a92d-de52c891c450,14324859,Casey's General Store,"{""wikidata"":null,""names"":{""primary"":""Casey's"",""common"":null,""rules"":null}}","{""primary"":""pizza_restaurant"",""alternate"":[""convenience_store"",""gas_station""]}","{""primary"":""Casey's General Store"",""common"":null,""rules"":null}",4672180,"Winner, South Dakota",SD,2921,46123,Non-Core,--,Non-Adjacent,9,POINT (-99.85929 43.37633),FALSE
8b01eeb6-a501-4af7-bc48-1c09584b0fc8,14357982,Cenex,NA,"{""primary"":""gas_station"",""alternate"":[""automotive""]}","{""primary"":""Cenex"",""common"":null,""rules"":null}",4612180,"Clark, South Dakota",SD,1148,46025,Non-Core,--,Non-Adjacent,9,POINT (-97.72274 44.87664),FALSE
3d96a1ec-764d-471f-98ef-3f1710255bca,14357954,Cenex,NA,"{""primary"":""gas_station"",""alternate"":[""convenience_store"",""candy_store""]}","{""primary"":""Cenex"",""common"":null,""rules"":null}",4612180,"Clark, South Dakota",SD,1148,46025,Non-Core,--,Non-Adjacent,9,POINT (-97.732 44.87776),FALSE
1ffff4fb-08e7-4fc5-ad4a-d61753ef202d,14328247,Casey's General Store,"{""wikidata"":null,""names"":{""primary"":""Casey's"",""common"":null,""rules"":null}}","{""primary"":""pizza_restaurant"",""alternate"":[""convenience_store"",""gas_station""]}","{""primary"":""Casey's General Store"",""common"":null,""rules"":null}",4611220,"Chamberlain, South Dakota",SD,2473,46015,Non-Core,--,Non-Adjacent,9,POINT (-99.33021 43.80872),FALSE
